,id,left,top,right,bottom,geometry,x,y,dep,X1,X2,b0,b1,b2,zone
0,1,0.0,40.0,1.0,39.0,"POLYGON ((0 40, 1 40, 1 39, 0 39, 0 40))",0.0,0.0,6.827661192688656,1.9634250169646124,0.7512354769636423,2.4447142030818894,1.4670669930306783,2.0,0
1,2,0.0,39.0,1.0,38.0,"POLYGON ((0 39, 1 39, 1 38, 0 38, 0 39))",1.0,0.0,5.899088137851805,0.2757696913146765,1.432766204050761,2.5839037284420874,1.6305345201808468,2.0,0
2,3,0.0,38.0,1.0,37.0,"POLYGON ((0 38, 1 38, 1 37, 0 37, 0 38))",2.0,0.0,6.253189352475625,0.45865820488878534,1.3599770981853272,2.7114346960123554,1.7917491747299785,2.0,0
3,4,0.0,37.0,1.0,36.0,"POLYGON ((0 37, 1 37, 1 36, 0 36, 0 37))",3.0,0.0,4.2712816839336165,1.0012646640696676,-0.2518974328668678,2.8269997092711696,1.9456162893816418,2.0,0
4,5,0.0,36.0,1.0,35.0,"POLYGON ((0 36, 1 36, 1 35, 0 35, 0 36))",4.0,0.0,-1.7864287146637587,-0.7638353097807451,-1.5597679470422996,2.9274513617555487,2.087287877268146,2.0,0
5,6,0.0,35.0,1.0,34.0,"POLYGON ((0 35, 1 35, 1 34, 0 34, 0 35))",5.0,0.0,1.962615190092805,0.721927660126705,-1.321103252316055,3.007649507198904,2.2123715099733023,2.0,0
6,7,0.0,34.0,1.0,33.0,"POLYGON ((0 34, 1 34, 1 33, 0 33, 0 34))",6.0,0.0,0.1389497401074925,-0.9054695642310606,-0.41248138654036665,3.061973939480694,2.317097679670963,2.0,0
7,8,0.0,33.0,1.0,32.0,"POLYGON ((0 33, 1 33, 1 32, 0 32, 0 33))",7.0,0.0,7.542852588112289,1.0018733900378216,1.026914799383234,3.0860918158295023,2.3984379637287363,2.0,0
8,9,0.0,32.0,1.0,31.0,"POLYGON ((0 32, 1 32, 1 31, 0 31, 0 32))",8.0,0.0,3.391341800122232,-0.520742473495271,0.795404677490701,3.078523574812941,2.4541711013010286,2.0,0
9,10,0.0,31.0,1.0,30.0,"POLYGON ((0 31, 1 31, 1 30, 0 30, 0 31))",9.0,0.0,0.1060478732287109,0.30895286603409033,-1.851328752664477,3.041606676373404,2.482898805993333,2.0,0
10,11,0.0,30.0,1.0,29.0,"POLYGON ((0 30, 1 30, 1 29, 0 29, 0 30))",10.0,0.0,3.5395262707282082,0.11318850158281492,0.1383850332112595,2.9815940042331963,2.4840173351599604,2.0,1
11,12,0.0,29.0,1.0,28.0,"POLYGON ((0 29, 1 29, 1 28, 0 28, 0 29))",11.0,0.0,-1.0960951066179154,-0.16233417741686357,-1.8024721495101759,2.907810455153819,2.4576541372854357,2.0,1
12,13,0.0,28.0,1.0,27.0,"POLYGON ((0 28, 1 28, 1 27, 0 27, 0 28))",12.0,0.0,3.5135746196627453,0.9139462660368148,-0.7575360908270604,2.8309889523736427,2.40458102473904,2.0,1
13,14,0.0,27.0,1.0,26.0,"POLYGON ((0 27, 1 27, 1 26, 0 26, 0 27))",13.0,0.0,3.3892226521361404,0.04421403587168154,0.26264795055551504,2.7610797697616354,2.32611611303611,2.0,1
14,15,0.0,26.0,1.0,25.0,"POLYGON ((0 26, 1 26, 1 25, 0 25, 0 26))",14.0,0.0,-3.828289757332591,-1.457797929647027,-1.6455274457760956,2.7049459354259975,2.2240262077964528,2.0,1
15,16,0.0,25.0,1.0,24.0,"POLYGON ((0 25, 1 25, 1 24, 0 24, 0 25))",15.0,0.0,8.573946722063292,-0.6001931034352934,3.5851059357690023,2.6644041646154286,2.1004395200053354,2.0,1
16,17,0.0,24.0,1.0,23.0,"POLYGON ((0 24, 1 24, 1 23, 0 23, 0 24))",16.0,0.0,4.461772672793482,1.5509392333104772,-0.6048282765771593,2.635037952376245,1.957775784090769,2.0,1
17,18,0.0,23.0,1.0,22.0,"POLYGON ((0 23, 1 23, 1 22, 0 22, 0 23))",17.0,0.0,2.125197828707405,-0.4645307339093544,0.177323690059317,2.6061006600319203,1.798697374469508,2.0,1
18,19,0.0,22.0,1.0,21.0,"POLYGON ((0 22, 1 22, 1 21, 0 21, 0 22))",18.0,0.0,4.70389764687249,-0.22405652125301465,1.2532882533870515,2.5616552508089527,1.6260812614293125,2.0,1
19,20,0.0,21.0,1.0,20.0,"POLYGON ((0 21, 1 21, 1 20, 0 20, 0 21))",19.0,0.0,2.8571951431680693,-1.6407514495107147,1.3709630800728971,2.4828865130695394,1.4430080380263002,2.0,1
20,21,0.0,20.0,1.0,19.0,"POLYGON ((0 20, 1 20, 1 19, 0 19, 0 20))",20.0,0.0,1.0525895738216797,-0.626258051689863,-0.25708015103206444,2.3513016583406587,1.2527611905952432,2.0,2
21,22,0.0,19.0,1.0,18.0,"POLYGON ((0 19, 1 19, 1 18, 0 18, 0 19))",21.0,0.0,0.8880664875285513,-0.7476132871307202,-0.2363408744219638,2.1523418368372007,1.058827623974949,2.0,2
22,23,0.0,18.0,1.0,17.0,"POLYGON ((0 18, 1 18, 1 17, 0 17, 0 18))",22.0,0.0,3.1944868159930238,1.109343613588844,0.17811507091456583,1.8787970924963107,0.8648894444559232,2.0,2
23,24,0.0,17.0,1.0,16.0,"POLYGON ((0 17, 1 17, 1 16, 0 16, 0 17))",23.0,0.0,-0.5120279964212755,-0.5238404365350635,-0.8459620403589059,1.5333821896616373,0.6747972869433885,2.0,2
24,25,0.0,16.0,1.0,15.0,"POLYGON ((0 16, 1 16, 1 15, 0 15, 0 16))",24.0,0.0,4.003447031234192,0.433073910901494,1.3301204108829667,1.1299099228895646,0.49251705357797215,2.0,2
25,26,0.0,15.0,1.0,14.0,"POLYGON ((0 15, 1 15, 1 14, 0 14, 0 15))",25.0,0.0,0.23658318893327768,0.39708062190495796,-0.29199345697217327,0.692692401080018,0.3220446799547272,2.0,2
26,27,0.0,14.0,1.0,13.0,"POLYGON ((0 14, 1 14, 1 13, 0 13, 0 14))",26.0,0.0,-2.3806509698965805,0.04430649324238972,-1.3210748705632316,0.2540868616446139,0.1672872087781807,2.0,2
